DATE,SITE_TYPE,SITE_NUMBER,SITE_ID,SPECIES_CODE,INTERCEPT_LENGTH_M,MAX_HEIGHT_CM,BROWSED,GENUS
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,1.15,95,N,willow
2013-08-08T00:00:00Z,WC,1,WC1,SAPL,1.35,100,N,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,0.3,80,N,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,1.6,160,N,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAMO,2.85,160,N,willow
2013-06-28T00:00:00Z,WC,2,WC2,SAPL,0.35,80,N,willow
2013-06-27T00:00:00Z,WC,3,WC3,BEGL,1.4,130,N,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,0.2,100,N,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,0.4,120,N,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,DAFR,0.15,75,N,nonwillow
2013-06-27T00:00:00Z,WC,3,WC3,SAGE,0.75,125,N,willow
2013-06-27T00:00:00Z,WC,3,WC3,SAGE,1.5,180,N,willow
2013-06-26T00:00:00Z,WC,4,WC4,DAFR,0.15,20,N,nonwillow
2013-06-26T00:00:00Z,WC,4,WC4,SAMO,1.45,115,N,willow
2013-06-26T00:00:00Z,WC,4,WC4,SAMO,1.75,300,N,willow
2013-08-08T00:00:00Z,WC,6,WC6,DAFR,0.25,60,N,nonwillow
2013-07-31T00:00:00Z,WC,7,WC7,DAFR,0.5,35,N,nonwillow
2013-07-31T00:00:00Z,WC,7,WC7,ROWO,0.8,35,N,nonwillow
2013-07-31T00:00:00Z,WC,7,WC7,ROWO,0.2,40,N,nonwillow
2013-07-31T00:00:00Z,WC,7,WC7,SAMO,1.9,160,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,DAFR,0.1,30,N,nonwillow
2013-08-06T00:00:00Z,WC,8,WC8,SAGE,0.1,55,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAGE,0.1,65,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAGE,0.1,30,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAMO,0.45,80,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAMO,1,80,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAMO,0.75,80,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAMO,0.3,20,N,willow
2013-08-06T00:00:00Z,WC,8,WC8,SAPL,0.3,55,N,willow
2013-08-09T00:00:00Z,WC,9,WC9,SAMO,0.6,110,Y,willow
2013-08-09T00:00:00Z,WC,9,WC9,SAMO,0.8,165,Y,willow
2013-08-09T00:00:00Z,WC,9,WC9,SAPL,0.9,195,Y,willow
2013-06-26T00:00:00Z,WC,10,WC10,SAMO,0.85,280,N,willow
2013-06-26T00:00:00Z,WC,10,WC10,SAPL,2.7,270,N,willow
2013-08-06T00:00:00Z,WC,11,WC11,ALIN,0.2,375,N,nonwillow
2013-08-06T00:00:00Z,WC,11,WC11,DAFR,0.2,40,N,nonwillow
2013-08-06T00:00:00Z,WC,11,WC11,SAGE,0.35,45,N,willow
2013-08-06T00:00:00Z,WC,11,WC11,SAMO,1.95,175,N,willow
2013-08-06T00:00:00Z,WC,11,WC11,SAMO,0.35,50,N,willow
2013-08-06T00:00:00Z,WC,11,WC11,SAMO,0.45,70,N,willow
2013-08-06T00:00:00Z,WC,11,WC11,SAPL,0.35,60,N,willow
2013-08-02T00:00:00Z,WC,12,WC12,SAGE,2.7,235,Y,willow
2013-08-02T00:00:00Z,WC,12,WC12,SAGE,1.6,330,Y,willow
2013-07-31T00:00:00Z,WC,13,WC13,BEOC,1.8,280,N,nonwillow
2013-07-31T00:00:00Z,WC,13,WC13,DAFR,0.2,70,N,nonwillow
2013-07-31T00:00:00Z,WC,13,WC13,DAFR,0.7,85,N,nonwillow
2013-07-31T00:00:00Z,WC,13,WC13,SAMO,1.4,105,Y,willow
2013-07-31T00:00:00Z,WC,13,WC13,SAMO,0.9,105,Y,willow
2013-08-06T00:00:00Z,WC,14,WC14,SAMO,0.4,50,Y,willow
2013-08-06T00:00:00Z,WC,14,WC14,SAMO,0.4,65,Y,willow
2013-08-02T00:00:00Z,WC,15,WC15,SAMO,0.3,55,Y,willow
2013-08-02T00:00:00Z,WC,15,WC15,SAPL,1.6,160,Y,willow
2013-06-26T00:00:00Z,WC,16,WC16,SAMO,0.4,70,N,willow
2013-06-26T00:00:00Z,WC,16,WC16,SAMO,0.2,40,N,willow
2013-06-26T00:00:00Z,WC,16,WC16,SAMO,0.2,65,N,willow
2013-06-26T00:00:00Z,WC,16,WC16,SAPL,2.5,140,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,ALIN,1,170,N,nonwillow
2013-07-25T00:00:00Z,WC,17,WC17,ALIN,0.9,190,N,nonwillow
2013-07-25T00:00:00Z,WC,17,WC17,SAGE,0.3,45,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,SAMO,0.3,90,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,SAMO,0.3,30,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,SAMO,1,40,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,SAMO,1.3,45,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,SAMO,0.15,45,N,willow
2013-07-25T00:00:00Z,WC,17,WC17,SAMO,0.15,70,N,willow
2013-08-06T00:00:00Z,WC,18,WC18,NONE,NA,NA,NA,NA
2013-06-27T00:00:00Z,WC,19,WC19,SABE,1.25,420,N,willow
2013-06-27T00:00:00Z,WC,19,WC19,SAMO,0.75,220,Y,willow
2013-06-27T00:00:00Z,WC,19,WC19,SAMO,0.05,310,Y,willow
2013-06-27T00:00:00Z,WC,19,WC19,SAMO,1.9,350,Y,willow
2013-06-27T00:00:00Z,WC,20,WC20,SAMO,0.2,35,Y,willow
2013-06-27T00:00:00Z,WC,20,WC20,SAMO,0.3,35,Y,willow
2013-06-27T00:00:00Z,WC,20,WC20,SAPL,0.9,60,Y,willow
2013-06-27T00:00:00Z,WC,21,WC21,SAGE,2.4,180,Y,willow
2013-06-27T00:00:00Z,WC,21,WC21,SAMO,0.4,60,Y,willow
2013-06-26T00:00:00Z,WC,22,WC22,SAMO,2.4,470,Y,willow
2013-06-26T00:00:00Z,WC,22,WC22,SAMO,0.7,145,Y,willow
2013-06-27T00:00:00Z,WC,23,WC23,DAFR,0.5,65,N,nonwillow
2013-06-27T00:00:00Z,WC,23,WC23,DAFR,0.4,55,N,nonwillow
2013-06-27T00:00:00Z,WC,23,WC23,DAFR,0.5,50,N,nonwillow
2013-06-27T00:00:00Z,WC,23,WC23,SAGE,0.3,40,Y,willow
2013-06-27T00:00:00Z,WC,23,WC23,SAMO,0.3,45,Y,willow
2013-06-27T00:00:00Z,WC,23,WC23,SAMO,0.3,40,Y,willow
2013-07-16T00:00:00Z,WC,24,WC24,DAFR,0.35,30,N,nonwillow
2013-07-16T00:00:00Z,WC,24,WC24,SAPL,0.65,50,N,willow
2013-07-16T00:00:00Z,WC,24,WC24,SAPL,0.35,35,N,willow
2013-07-16T00:00:00Z,WC,24,WC24,SAPL,0.35,25,N,willow
2013-07-16T00:00:00Z,WC,25,WC25,SAMO,0.15,50,N,willow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.1,15,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.05,20,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.15,25,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,DAFR,0.1,30,N,nonwillow
2013-07-16T00:00:00Z,WC,26,WC26,SAPL,0.05,45,N,willow
2013-07-16T00:00:00Z,WC,27,WC27,NONE,NA,NA,NA,NA
2013-07-16T00:00:00Z,WC,28,WC28,DAFR,0.2,25,N,nonwillow
2013-07-16T00:00:00Z,WC,28,WC28,DAFR,0.05,30,N,nonwillow
2013-07-16T00:00:00Z,WC,28,WC28,DAFR,0.3,35,N,nonwillow
2013-08-01T00:00:00Z,WC,29,WC29,NONE,NA,NA,NA,NA
2013-08-06T00:00:00Z,WC,30,WC30,BEOC,0.1,45,N,nonwillow
2013-08-06T00:00:00Z,WC,30,WC30,DAFR,0.3,55,N,nonwillow
2013-08-06T00:00:00Z,WC,30,WC30,DAFR,0.4,55,N,nonwillow
2013-08-06T00:00:00Z,WC,30,WC30,SAMO,0.1,50,N,willow
2013-08-06T00:00:00Z,WC,30,WC30,SAMO,0.5,40,N,willow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.3,35,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.35,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,1.05,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.25,20,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.2,35,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.2,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.3,60,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.3,45,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.8,50,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,DAFR,0.25,30,N,nonwillow
2013-07-16T00:00:00Z,WC,31,WC31,SAMO,0.05,65,Y,willow
2013-07-16T00:00:00Z,WC,32,WC32,DAFR,0.2,45,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,ALIN,2.5,640,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,BEOC,1.2,210,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,RUDE,0.3,50,N,nonwillow
2013-08-06T00:00:00Z,WC,33,WC33,SADR,0.3,150,Y,willow
2013-08-06T00:00:00Z,WC,33,WC33,SADR,0.3,125,Y,willow
2013-07-16T00:00:00Z,WC,34,WC34,NONE,NA,NA,NA,NA
2013-08-08T00:00:00Z,WC,35,WC35,DAFR,0.1,15,N,nonwillow
2013-08-08T00:00:00Z,WC,35,WC35,DAFR,0.2,30,N,nonwillow
2013-06-25T00:00:00Z,WC,36,WC36,NONE,NA,NA,NA,NA
2013-06-17T00:00:00Z,WC,37,WC37,DAFR,0.1,40,N,nonwillow
2013-06-17T00:00:00Z,WC,37,WC37,DAFR,0.2,35,N,nonwillow
2013-06-17T00:00:00Z,WC,37,WC37,DAFR,0.15,35,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.1,30,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.2,25,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.15,40,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.2,30,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.15,35,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,DAFR,0.05,35,N,nonwillow
2013-06-17T00:00:00Z,WC,38,WC38,SAMO,0.1,30,N,willow
2013-06-17T00:00:00Z,WC,38,WC38,SAMO,0.25,55,Y,willow
2013-07-16T00:00:00Z,WC,39,WC39,BEGL,0.1,60,N,nonwillow
2013-07-16T00:00:00Z,WC,39,WC39,SAMO,1.7,320,Y,willow
2013-07-16T00:00:00Z,WC,39,WC39,SAMO,0.75,75,Y,willow
2013-06-25T00:00:00Z,WC,40,WC40,SAMO,0.1,70,Y,willow
2013-06-25T00:00:00Z,WC,41,WC41,DAFR,0.05,35,N,nonwillow
2013-06-25T00:00:00Z,WC,41,WC41,SAMO,1.8,145,N,willow
2013-08-13T00:00:00Z,WC,42,WC42,POTR,2.2,340,N,nonwillow
2013-08-13T00:00:00Z,WC,42,WC42,POTR,1.3,290,N,nonwillow
2013-08-13T00:00:00Z,WC,42,WC42,SAMO,1.1,175,N,willow
2012-06-27T00:00:00Z,WC,43,WC43,NONE,0,0,0,willow
2013-06-27T00:00:00Z,WC,44,WC44,DAFR,0.3,55,N,nonwillow
2013-06-27T00:00:00Z,WC,44,WC44,SAMO,0.5,65,Y,willow
2013-06-27T00:00:00Z,WC,44,WC44,SAMO,0.3,65,Y,willow
2013-08-06T00:00:00Z,WC,45,WC45,ALIN,1.8,190,N,nonwillow
2013-08-06T00:00:00Z,WC,45,WC45,DAFR,0.45,55,N,nonwillow
2013-08-06T00:00:00Z,WC,45,WC45,SAMO,0.25,60,Y,willow
2013-08-06T00:00:00Z,WC,45,WC45,SAMO,0.6,90,Y,willow
2013-08-06T00:00:00Z,WC,45,WC45,SAMO,1.05,155,N,willow
2013-06-26T00:00:00Z,WC,46,WC46,RIIN,1.1,110,N,nonwillow
2013-06-26T00:00:00Z,WC,46,WC46,RIIN,0.25,100,N,nonwillow
2013-06-26T00:00:00Z,WC,46,WC46,SAMO,1,350,Y,willow
2013-08-09T00:00:00Z,WC,47,WC47,SAGE,0.8,180,Y,willow
2013-08-09T00:00:00Z,WC,47,WC47,SAGE,0.9,330,Y,willow
2013-08-09T00:00:00Z,WC,47,WC47,SAMO,2.2,150,Y,willow
2013-06-26T00:00:00Z,WC,48,WC48,DAFR,0.7,80,Y,nonwillow
2013-06-26T00:00:00Z,WC,48,WC48,DAFR,0.6,75,Y,nonwillow
2013-06-26T00:00:00Z,WC,48,WC48,RIIN,0.2,45,Y,nonwillow
2013-06-26T00:00:00Z,WC,48,WC48,RIIN,0.1,80,Y,nonwillow
2013-06-26T00:00:00Z,WC,48,WC48,RIIN,0.1,60,Y,nonwillow
2013-06-26T00:00:00Z,WC,48,WC48,SAMO,0,50,Y,willow
2013-06-26T00:00:00Z,WC,48,WC48,SAMO,0.3,60,Y,willow
2013-06-25T00:00:00Z,WC,49,WC49,NONE,NA,NA,NA,NA
2013-06-25T00:00:00Z,WC,50,WC50,SAMO,0,95,N,willow
2013-06-25T00:00:00Z,WC,51,WC51,DAFR,0.2,50,N,nonwillow
2013-06-25T00:00:00Z,WC,51,WC51,DAFR,0.2,30,N,nonwillow
2013-06-25T00:00:00Z,WC,51,WC51,DAFR,0.2,25,N,nonwillow
2013-07-10T00:00:00Z,WC,52,WC52,POTR,0.4,35,N,nonwillow
2013-07-10T00:00:00Z,WC,52,WC52,POTR,0.2,35,N,nonwillow
2013-07-10T00:00:00Z,WC,52,WC52,POTR,0.6,40,N,nonwillow
2013-07-10T00:00:00Z,WC,52,WC52,POTR,0.5,30,N,nonwillow
2013-07-10T00:00:00Z,WC,52,WC52,POTR,0.3,40,N,nonwillow
2013-08-08T00:00:00Z,WC,53,WC53,SAMO,0.3,100,Y,willow
2013-08-08T00:00:00Z,WC,54,WC54,NONE,NA,NA,NA,NA
2013-08-08T00:00:00Z,WC,55,WC55,DAFR,0.3,45,Y,nonwillow
2013-08-08T00:00:00Z,WC,55,WC55,DAFR,0.1,15,N,nonwillow
2013-08-08T00:00:00Z,WC,55,WC55,DAFR,0.2,40,N,nonwillow
2013-08-08T00:00:00Z,WC,55,WC55,DAFR,0.1,30,N,nonwillow
2013-08-06T00:00:00Z,WC,56,WC56,DAFR,0.1,15,N,nonwillow
2013-07-16T00:00:00Z,WC,57,WC57,DAFR,0.2,20,N,nonwillow
